time,temperature,altitude
1479753173,22.27827823,8.476049014359887
1479753175,21.82704764,8.729594141630514
1479753176,21.78855115,9.172944001154974
1479753177,21.78413352,9.06136897180113
1479753178,21.79296878,9.08569826294115
1479753179,21.79991077,9.22245361412206
1479753180,21.79864859,9.518265525104653
1479753181,21.81568801,9.212765119656979
1479753182,21.83083418,9.129271014586266
1479753184,21.84345598,8.995126552770671
1479753185,21.84913579,9.22889038133144
1479753186,21.85923324,8.789189938441268
1479753187,21.8617576,8.9265250297467
1479753188,21.87564159,9.026717755885329
1479753189,21.88069031,9.270796167598746
1479753190,21.89331212,9.021931961775408
1479753191,21.90214739,9.189077539020218
1479753192,21.91350702,9.238637255308277
1479753194,21.92423556,8.959441698389128
1479753195,21.93243974,8.966070067472174
1479753196,21.93054647,9.129437768679054
1479753197,21.94569265,9.074025532216183
1479753198,21.96399429,9.229824213172833
1479753199,21.96525648,8.849828260834329
1479753200,21.97346066,9.162363415453001
1479753201,21.98103376,9.036514466708468
1479753203,21.99554885,9.101014572996064
1479753204,22.00438413,8.735371950890112
1479753205,22.00817068,9.051046966182184
1479753206,22.02268579,9.199699840610265
1479753207,22.03278325,9.096487212809734
1479753208,22.04792945,9.181348445665208
1479753209,22.04729836,8.90860766689002
1479753210,22.05297818,9.173102418208146
1479753212,22.06055129,9.13139712940756
1479753213,22.06496893,9.102823850080313
1479753214,22.07317312,9.163022096210625
1479753215,22.07948404,9.27957589305879
1479753216,22.08768824,9.367823800472252
1479753217,22.10535882,9.421845162127283
1479753218,22.11040755,9.35494176064094
1479753219,22.10788318,9.192045779185719
1479753220,22.10031008,9.121541965563665
1479753222,22.11040755,9.186642915687116
1479753223,22.09778571,9.070857221842743
1479753224,22.09210588,9.199007806506415
1479753225,22.10094117,9.254070519222296
1479753226,22.12239831,9.284678642870858
1479753227,22.12555377,9.327651899693592
1479753228,22.15395292,9.18406655119179
1479753229,22.13628234,9.1325894214242
1479753231,22.15079746,9.113029179257865
1479753232,22.15963276,9.140060009529407
1479753233,22.16909914,9.156793812806427
1479753234,22.1899252,9.001379752444336
1479753235,22.18740083,8.920046761450067
1479753236,22.19560504,9.17923065841751
1479753237,22.20002269,9.375102785350464
1479753238,22.2082269,9.38181479767809
1479753240,22.21453782,9.215308140141133
1479753241,22.22842187,8.894909117552743
1479753242,22.22842187,9.371842666638258
1479753243,22.23283952,9.203009932098212
1479753244,22.24483029,9.048620712710544
1479753245,22.24672357,9.275390306022018
1479753246,22.25177232,9.182999319498776
1479753247,22.26818074,9.137767138730851
1479753249,22.26881183,9.214215891923232
1479753250,22.28332698,9.278900529301609
1479753251,22.29216229,9.27791666612029
1479753252,22.30730854,9.138484181916283
1479753253,22.3211926,9.267019136983436
1479753254,22.32876572,9.113129231554922
1479753255,22.33002791,9.125752503969125
1479753256,22.32876572,9.30954207720788
1479753257,22.3413876,9.091334529017331
1479753259,22.34832963,9.085456470515055
1479753260,22.35716495,8.913560159642657
1479753261,22.36095151,9.145279419128201
1479753262,22.3729423,8.990907729508763
1479753263,22.3836709,9.413207061734283
1479753264,22.38998184,9.02219042795332
1479753265,22.39250622,9.300003582982754
1479753266,22.40007935,8.89355010237341
1479753268,22.41143905,8.94334186596825
1479753269,22.41459452,9.295059244570439
1479753270,22.42910969,9.023057540332957
1479753271,22.4392072,8.94797754794854
1479753272,22.44551815,9.090167254733387
1479753273,22.45750895,9.32871080833138
1479753274,22.46949975,9.146296620674548
1479753275,22.47202413,9.365439162771509
1479753277,22.47896617,9.19120366601419
1479753278,22.48843259,9.575497819001612
1479753279,22.49032588,9.662047251636977
1479753280,22.49411245,9.36056149644719
1479753281,22.49663683,9.439388198843517
1479753282,22.50357887,9.408054221472412
1479753283,22.51178311,9.524560728539655
1479753284,22.51935625,9.174186324373295
1479753285,22.51998735,9.587496295731398
1479753287,22.52440501,9.362495886918623
1479753288,22.52124954,9.45979118788091
1479753289,22.52819159,9.453962949504785
1479753290,22.53387144,9.295150960773753
1479753291,22.53892021,9.51153674894158
1479753292,22.54901773,9.352273637872713
1479753293,22.54460006,9.38079757316882
1479753294,22.54712444,9.321857086586533
1479753296,22.5666884,9.207545676290465
1479753297,22.57426155,9.530855935772706
1479753298,22.57867922,9.55847985031869
1479753299,22.58435908,9.402242687850958
1479753300,22.59950538,9.403251576528419
1479753301,22.60139866,9.461750610666058
1479753302,22.60581633,9.292874731545453
1479753303,22.49537464,10.888933526774053
1479753305,22.62159373,9.510752976042568
1479753306,22.62979798,9.318505268107401
1479753307,22.6424199,9.240680014481768
1479753308,22.64368209,9.225246770387457
1479753309,22.65441073,9.451319815292663
1479753310,22.6594595,9.468671128146525
1479753311,22.66640155,9.378646393808594
1479753312,22.67081923,9.378212822826754
1479753314,22.68407225,9.404985864726768
1479753315,22.68848993,9.345828456629533
1479753316,22.69669418,9.380755883641541
1479753317,22.70742282,9.410330475839146
1479753318,22.71310269,9.591006624053989
1479753319,22.72572462,9.229865902103484
1479753320,22.72446243,9.556720522457908
1479753321,22.73645327,9.455997412886063
1479753322,22.74402643,9.189794585719937
1479753324,22.7497063,9.538960499558016
1479753325,22.75412398,9.566617787786527
1479753326,22.76422153,9.407378849391534
1479753327,22.76485263,9.399657932190166
1479753328,22.77242579,9.442331496393308
1479753329,22.78063005,9.530880949852872
1479753330,22.78630993,9.486947986733867
1479753331,22.7926209,9.629303465640987
1479753333,22.8159715,9.440738947188947
1479753334,22.82038918,9.440322049529641
1479753335,22.83679771,9.114554976877116
1479753336,22.84121539,9.366881618378102
