time,altitude,sound_time
1479753419,9.46027479,1130
1479753421,9.480110837,1130
1479753422,9.681233307,1120
1479753423,9.746196001,1130
1479753424,9.507384421,1130
1479753426,9.507384421,1130
1479753427,9.601612659,1130
1479753428,9.620498431,1130
1479753429,9.509335515,1130
1479753431,9.490533323,1130
1479753432,9.645504414,1130
1479753433,9.242556018,1120
1479753434,9.242556018,1130
1479753436,9.643511605,1130
1479753437,9.619731327,1130
1479753438,9.534824837,1850
1479753439,9.847588976,1130
1479753440,9.675479988,1130
1479753442,9.784676854,1130
1479753443,9.339083116,1130
1479753444,9.612068619,1130
1479753445,9.828686115,2000
1479753447,9.728260554,1130
1479753448,9.824658735,1130
1479753449,9.697834568,1130
1479753450,9.587037702,1120
1479753452,9.686386282,1130
1479753453,9.644820689,1130
1479753454,9.836065481,1130
1479753455,9.530997682,1130
1479753457,9.645312638,1130
1479753458,9.649323273,1120
1479753459,9.643628338,1130
1479753460,9.829236441,1130
1479753461,9.866892109,1130
1479753463,9.866892109,1130
1479753464,9.382807009,1120
1479753465,9.514413363,1130
1479753466,9.675154801,1130
1479753468,9.587104406,1130
1479753469,9.443407093,1130
1479753470,9.552192964,1130
1479753471,9.552192964,1130
1479753473,9.769459598,1130
1479753474,9.732713145,1130
1479753475,9.688087265,1130
1479753476,9.66687503,1130
1479753477,9.817421128,1130
1479753479,9.699210364,1130
1479753480,9.539735937,1130
1479753481,9.675263196,1130
1479753482,9.633630943,1120
1479753484,9.870969535,1130
1479753485,9.65831177,1130
1479753486,9.605281416,1130
1479753487,9.451411533,1130
1479753489,9.504299359,1120
1479753490,9.345044696,1130
1479753491,9.45212026,1130
1479753492,9.510586216,1130
1479753494,9.625217795,1130
1479753495,9.39673966,1130
1479753496,9.762347102,1120
1479753497,9.492951341,1130
1479753498,9.428623908,1130
1479753500,9.428623908,1130
1479753501,9.243564891,1130
1479753502,9.445083022,1130
1479753503,9.695408164,1120
1479753505,9.715586523,1130
1479753506,9.556370325,1130
1479753507,9.637608221,1120
1479753508,9.637608221,1130
1479753510,9.67569678,1130
1479753511,9.823966659,1130
1479753512,9.554069024,1130
1479753513,9.802137118,1130
1479753515,9.553243558,1130
1479753516,9.596443049,1120
1479753517,9.449485464,1130
1479753518,9.449485464,1130
1479753519,9.4593326,1130
1479753521,9.469313152,1130
1479753522,9.384449576,1120
1479753523,9.621999289,1130
1479753524,9.3579434,1130
1479753526,9.132330953,1130
1479753527,9.262616772,1130
1479753528,9.526103262,1130
1479753529,9.533490752,1120
1479753531,9.499938584,1130
1479753532,9.476592208,1130
1479753533,9.409396628,1130
1479753534,9.398857492,1130
1479753536,9.821381799,1130
1479753537,9.821381799,1130
1479753538,9.393321115,1130
1479753539,9.569544445,1130
1479753540,9.592307364,1130
1479753542,9.515288854,1130
1479753543,9.299811813,1130
1479753544,9.545272392,1120
1479753545,9.545272392,1120
1479753547,11.53598523,1130
1479753548,9.665315799,1130
1479753549,9.644487164,1130
1479753550,9.698101389,1130
1479753552,9.487731758,1130
1479753553,9.723349365,1130
1479753554,9.507767969,1130
1479753555,9.507767969,1130
1479753557,9.633130656,3010
1479753558,9.963683474,1130
1479753559,9.568760668,1130
1479753560,9.717170776,1130
1479753561,9.868284604,1130
1479753563,9.722073624,1120
1479753564,9.760412638,1130
1479753565,9.573163162,1130
1479753566,10.02927331,1130
1479753568,9.883068411,1130
1479753569,9.875305451,1130
1479753570,9.685377366,1130
1479753571,9.857061265,1120
1479753573,9.800602882,1130
1479753574,9.800602882,1130
1479753575,9.974815206,1130
1479753576,9.767033178,1130
1479753578,9.895192317,1130
1479753579,9.956695922,1130
1479753580,9.761780104,1130
1479753581,10.06170983,1120
1479753582,9.846288204,1130
1479753584,9.846288204,1130
1479753585,9.748830872,1130
1479753586,9.830845726,1130
1479753587,9.766724664,1130
1479753589,9.856460908,1130
1479753590,9.669268075,1130
1479753591,9.68977991,2000
1479753592,9.68977991,1130
1479753594,9.679523987,1130
1479753595,9.8154533,1130
1479753596,9.67955734,1120
1479753597,9.638550427,1130
1479753598,9.52060017,1120
1479753600,9.679657398,1130
1479753601,9.666858354,1130
1479753602,9.551459217,1130
