time,gps_timestamp,lat,lat_direction,lng,lng_direction,fix_quality,num_satelites,hdop,altitude,height_geoid_ellipsoid
1479753228.582729,183348.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753229.581351,183349.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753230.581451,183350.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753231.580911,183351.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753232.580504,183352.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753233.579144,183353.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753234.579028,183354.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753235.586535,183355.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753236.586338,183356.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753237.580963,183357.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753238.580518,183358.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753239.580144,183359.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753240.578835,183400.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753241.582455,183401.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753242.582387,183402.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753243.581052,183403.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753244.580649,183404.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753245.580323,183405.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753246.579959,183406.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753247.578635,183407.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753248.582395,183408.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753249.582081,183409.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753250.581694,183410.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753251.580124,183411.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753252.579802,183412.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753253.579682,183413.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753254.583442,183414.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753255.582116,183415.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753256.581751,183416.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753257.585008,183417.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753258.584183,183418.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753259.592292,183419.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753260.591289,183420.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753261.587297,183421.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753262.585928,183422.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753263.585851,183423.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753264.584775,183424.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753265.588528,183425.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753266.587393,183426.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753267.587419,183427.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753268.586103,183428.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753269.585985,183429.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753270.58591,183430.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753271.584545,183431.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753272.584718,183432.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753273.58348,183433.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753274.587529,183434.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753275.586369,183435.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753276.585376,183436.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753277.580633,183437.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753278.580019,183438.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753279.579858,183439.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753280.583663,183440.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753281.58229,183441.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753282.58207,183442.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753283.585394,183443.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753284.585024,183444.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753285.579829,183445.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753286.583583,183446.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753287.583474,183447.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753288.582138,183448.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753289.581903,183449.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753290.581574,183450.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753291.581205,183451.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753292.579591,183452.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753293.583391,183453.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753294.583317,183454.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753295.582841,183455.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753296.581246,183456.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753297.58088,183457.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753298.580576,183458.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753299.584204,183459.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753300.582826,183500.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753301.582719,183501.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753302.582427,183502.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753303.58206,183503.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753304.580437,183504.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753305.580073,183505.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753306.580004,183506.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753307.587303,183507.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753308.586976,183508.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753309.581569,183509.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753310.581112,183510.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
1479753311.581004,183511.000,0000.0000,N,00000.0000,E,0,00,0.0,0.0,0.0
