geiger_cpm,time,altitude
157,1479766098,335.1805802
152,1479766158,335.3788309
157,1479766218,334.6340586
184,1479766278,335.0615459
249,1479766338,335.2777345
262,1479766399,335.0432087
202,1479766459,335.2816973
293,1479766519,335.2962777
205,1479766579,335.1642638
252,1479766639,335.0026561
262,1479766699,334.8313809
314,1479766759,334.946874
206,1479766819,334.7731909
195,1479766879,335.1053372
200,1479766939,335.4421237
233,1479766999,335.407722
320,1479767059,335.4552229
396,1479767119,335.2315249
262,1479767179,334.7236671
332,1479767239,334.7872269
268,1479767299,334.5669725
405,1479767359,334.0803096
330,1479767419,334.5294121
385,1479767479,334.2706488
513,1479767539,334.4906603
300,1479767599,334.4551218
432,1479767660,334.634721
556,1479767720,334.2723659
494,1479767780,334.0278101
528,1479767840,333.8133784
491,1479767900,333.6834737
420,1479767960,333.4575956
441,1479768020,333.0387702
427,1479768080,333.0849433
366,1479768140,332.8494032
405,1479768200,332.6189398
378,1479768260,332.4064838
311,1479768320,332.0631303
438,1479768380,332.4586895
464,1479768440,332.3363097
362,1479768500,332.0598379
415,1479768560,332.192914
350,1479768620,332.5345834
482,1479768680,332.595447
318,1479768740,332.3328555
392,1479768800,332.0180558
408,1479768861,332.188008
320,1479768921,332.0394951
295,1479768981,332.0493474
313,1479769041,331.8395142
308,1479769101,331.7829769
423,1479769161,331.9102818
333,1479769221,331.9670796
399,1479769281,332.2687062
317,1479769341,332.3719029
320,1479769401,332.0069108
502,1479769461,332.1277833
377,1479769521,332.0238794
379,1479769581,332.1375161
334,1479769641,332.0750941
266,1479769701,332.2367791
302,1479769761,332.6359937
288,1479769821,332.1566824
530,1479769881,332.0973317
510,1479769941,331.868035
439,1479770001,331.7202646
292,1479770062,331.8619328
381,1479770122,331.7900905
294,1479770182,331.9485122
428,1479770242,331.799786
304,1479770302,331.9131751
341,1479770362,332.1288868
302,1479770422,332.2324236
280,1479770482,332.2467314
269,1479770542,332.4513501
394,1479770602,332.9070826
302,1479770662,332.9797352
404,1479770722,332.9321279
324,1479770782,333.4300924
445,1479770842,333.3742629
342,1479770902,333.5859758
407,1479770962,333.8108029
359,1479771022,334.4093667
404,1479771082,334.2351076
471,1479771142,334.8002357
282,1479771202,334.4788735
162,1479771263,334.1749957
181,1479771323,334.3219271
180,1479771383,334.7197768
187,1479771443,334.5079005
186,1479771503,334.4222581
304,1479771563,334.9165888
273,1479771623,334.9220751
297,1479771683,335.1556371
272,1479771743,335.1885729
190,1479771803,335.2683661
213,1479771863,335.6792724
184,1479771923,335.4055822
229,1479771983,335.1648462
367,1479772043,334.8906656
374,1479772103,334.7164044
261,1479772163,334.3199347
322,1479772223,334.3583272
417,1479772283,333.8339174
315,1479772343,333.6989483
216,1479772403,333.3549988
251,1479772464,333.5973297
496,1479772524,333.8314648
341,1479772584,333.5658906
581,1479772644,333.5874656
496,1479772704,333.7569628
586,1479772764,333.544375
359,1479772824,333.9774485
350,1479772884,333.724435
370,1479772944,334.0992
358,1479773004,334.1117718
353,1479773064,334.239797
470,1479773124,334.1193016
504,1479773184,334.1075221
942,1479773244,333.5816755
