time,exterior_pressure,exterior_humidity,exterior_temperature,estimated_altitude,sound_time,blue_voltage,red_voltage,white_voltage
1479753267.984548,101162.0,65.58,18.26,13.58,1130.0,345,0,3
1479753269.216803,101161.0,66.08,18.3,13.69,1130.0,345,0,2
1479753270.454124,101161.0,66.58,18.33,13.67,1130.0,345,0,2
1479753271.690266,101162.0,66.67,18.34,13.6,1130.0,344,0,3
1479753272.923774,101162.0,66.67,18.37,13.55,1120.0,344,0,3
1479753274.111074,101162.0,66.54,18.38,13.59,1130.0,344,0,3
1479753275.295833,101164.0,66.36,18.4,13.43,1130.0,344,0,4
1479753276.531961,101163.0,66.06,18.42,13.53,1130.0,344,0,4
1479753277.765387,101165.0,66.03,18.44,13.36,1130.0,345,0,7
1479753279.00147,101163.0,65.71,18.44,13.5,1130.0,344,0,4
1479753280.235012,101165.0,64.96,18.41,13.35,1130.0,344,0,3
1479753281.47109,101164.0,64.59,18.38,13.43,1130.0,344,0,1
1479753282.704631,101164.0,63.98,18.38,13.45,1130.0,344,0,3
1479753283.891925,101164.0,63.79,18.4,13.38,1130.0,344,0,3
1479753285.129281,101162.0,64.16,18.43,13.58,1130.0,344,0,2
1479753286.312822,101164.0,64.49,18.44,13.4,1120.0,344,0,2
1479753287.550146,101162.0,64.46,18.46,13.55,1130.0,344,0,3
1479753288.78236,101159.0,64.12,18.49,13.82,1130.0,344,0,2
1479753290.019739,101160.0,64.01,18.49,13.73,1130.0,344,0,4
1479753291.2071,101161.0,64.05,18.49,13.71,2000.0,344,0,4
1479753292.390609,101160.0,64.32,18.51,13.75,1130.0,344,0,2
1479753293.627916,101162.0,65.47,18.54,13.55,1130.0,344,0,3
1479753294.811414,101163.0,65.63,18.55,13.5,1130.0,344,0,2
1479753296.048755,101163.0,65.75,18.56,13.52,1130.0,344,0,2
1479753297.281045,101160.0,66.86,18.61,13.71,1130.0,344,0,1
1479753298.518363,101162.0,66.56,18.58,13.57,1130.0,344,0,3
1479753299.751927,101162.0,66.3,18.61,13.59,1130.0,344,0,2
1479753300.939193,101158.0,66.28,18.66,13.92,1130.0,344,0,3
1479753302.122784,101164.0,66.04,18.64,13.37,1130.0,344,0,3
1479753303.360008,101159.0,65.64,18.67,13.8,1130.0,344,0,2
1479753304.596179,71014.7,60.24,21.99,2900.0,1130.0,344,0,2
1479753305.829675,71014.7,60.24,21.99,2900.0,1130.0,344,0,3
1479753307.065754,71014.7,60.24,21.99,2900.0,1130.0,344,0,2
1479753308.303138,71014.7,60.24,21.99,2900.0,1120.0,344,0,2
1479753309.535632,71014.7,60.24,21.99,2900.0,1130.0,344,0,1
1479753310.772962,71014.7,60.24,21.99,2900.0,1130.0,344,0,2
1479753312.005463,71014.7,60.24,21.99,2900.0,1130.0,344,0,1
1479753313.242865,71014.7,60.24,21.99,2900.0,1130.0,344,0,2
1479753314.476339,71014.7,60.24,21.99,2900.0,1130.0,344,0,2
1479753315.712419,71014.7,60.24,21.99,2900.0,1130.0,344,0,4
1479753316.949533,71014.7,60.24,21.99,2900.0,1130.0,344,0,4
1479753318.182003,71014.7,60.24,21.99,2900.0,1120.0,344,0,4
1479753319.419369,71014.7,60.24,21.99,2900.0,1130.0,343,0,4
1479753320.651782,71014.7,60.24,21.99,2900.0,1130.0,344,0,8
1479753321.889146,71014.7,60.24,21.99,2900.0,1130.0,344,0,13
1479753323.126487,71014.7,60.24,21.99,2900.0,1130.0,344,0,10
1479753324.35895,71014.7,60.24,21.99,2900.0,1130.0,344,0,7
1479753325.592441,71014.7,60.24,21.99,2900.0,1130.0,344,0,5
1479753326.828568,71014.7,60.24,21.99,2900.0,1130.0,344,0,4
1479753328.065766,71014.7,60.24,21.99,2900.0,1130.0,343,0,4
1479753329.298149,71014.7,60.24,21.99,2900.0,1130.0,344,0,3
1479753330.535468,71014.7,60.24,21.99,2900.0,1130.0,344,0,0
1479753331.767969,71014.7,60.24,21.99,2900.0,1130.0,344,0,2
1479753333.005357,71014.7,60.24,21.99,2900.0,1130.0,344,0,3
1479753334.237588,71014.7,60.24,21.99,2900.0,1120.0,344,0,5
1479753335.474927,71014.7,60.24,21.99,2900.0,1130.0,344,0,5
1479753336.70864,71014.7,60.24,21.99,2900.0,1130.0,343,0,3
1479753337.944499,71014.7,60.24,21.99,2900.0,1120.0,343,0,3
1479753339.18188,71014.7,60.24,21.99,2900.0,1130.0,343,0,3
1479753340.41444,71014.7,60.24,21.99,2900.0,1120.0,343,0,3
1479753341.651693,71014.7,60.24,21.99,2900.0,1130.0,343,0,2
1479753342.8842,71014.7,60.24,21.99,2900.0,1120.0,343,0,1
1479753344.121543,71014.7,60.24,21.99,2900.0,1130.0,343,0,2
1479753345.354091,71014.7,60.24,21.99,2900.0,1130.0,343,0,2
1479753346.591454,71014.7,60.24,21.99,2900.0,1860.0,343,0,2
1479753347.827531,71014.7,60.24,21.99,2900.0,1130.0,343,0,1
1479753349.061282,71014.7,60.24,21.99,2900.0,1130.0,342,0,2
1479753350.297398,71014.7,60.24,21.99,2900.0,1130.0,343,0,1
1479753351.5309,71014.7,60.24,21.99,2900.0,1120.0,343,0,2
1479753352.766966,71014.7,60.24,21.99,2900.0,1130.0,343,0,0
1479753354.004353,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753355.237894,71014.7,60.24,21.99,2900.0,1860.0,343,0,0
1479753356.474024,71014.7,60.24,21.99,2900.0,1130.0,343,0,0
1479753357.711348,71014.7,60.24,21.99,2900.0,1130.0,343,0,0
1479753358.943853,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753360.181171,71014.7,60.24,21.99,2900.0,1120.0,343,0,0
1479753361.413463,71014.7,60.24,21.99,2900.0,1130.0,343,0,0
1479753362.650804,71014.7,60.24,21.99,2900.0,1120.0,343,0,0
1479753363.883047,71014.7,60.24,21.99,2900.0,1130.0,343,0,0
1479753365.120421,71014.7,60.24,21.99,2900.0,2000.0,343,0,0
1479753366.357778,71014.7,60.24,21.99,2900.0,2000.0,343,0,1
1479753367.590234,71014.7,60.24,21.99,2900.0,1130.0,343,0,0
1479753368.827616,71014.7,60.24,21.99,2900.0,2000.0,344,0,1
1479753370.059865,71014.7,60.24,21.99,2900.0,1130.0,343,0,1
1479753371.297072,71014.7,60.24,21.99,2900.0,1130.0,343,0,2
1479753372.529325,71014.7,60.24,21.99,2900.0,1120.0,343,0,1
1479753373.766711,71014.7,60.24,21.99,2900.0,2000.0,343,0,0
1479753375.004032,71014.7,60.24,21.99,2900.0,1130.0,344,0,0
1479753376.236479,71014.7,60.24,21.99,2900.0,1130.0,343,0,3
1479753377.468726,71014.7,60.24,21.99,2900.0,1120.0,344,0,2
1479753378.706117,71014.7,60.24,21.99,2900.0,1860.0,343,0,0
1479753379.943431,71014.7,60.24,21.99,2900.0,1860.0,342,0,0
1479753381.175936,71014.7,60.24,21.99,2900.0,1130.0,343,0,0
1479753382.413261,71014.7,60.24,21.99,2900.0,1130.0,343,0,0
1479753383.645762,71014.7,60.24,21.99,2900.0,1130.0,343,0,1
1479753384.883146,71014.7,60.24,21.99,2900.0,1860.0,342,0,0
1479753386.11564,71014.7,60.24,21.99,2900.0,1860.0,342,0,0
1479753387.352966,71014.7,60.24,21.99,2900.0,1860.0,342,0,0
1479753388.589038,71014.7,60.24,21.99,2900.0,3740.0,342,0,0
1479753389.822853,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753391.058837,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753392.292483,71014.7,60.24,21.99,2900.0,1120.0,342,0,0
1479753393.528556,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753394.762053,71014.7,60.24,21.99,2900.0,1130.0,343,0,1
1479753395.998131,71014.7,60.24,21.99,2900.0,1120.0,343,0,2
1479753397.231647,71014.7,60.24,21.99,2900.0,1130.0,343,0,2
1479753398.469023,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753399.705142,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753400.938738,71014.7,60.24,21.99,2900.0,1130.0,342,0,1
1479753402.174777,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753403.408527,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753404.644653,71014.7,60.24,21.99,2900.0,1120.0,342,0,0
1479753405.878165,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753407.11424,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753408.347734,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753409.585024,71014.7,60.24,21.99,2900.0,1130.0,343,0,0
1479753410.817517,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753412.053595,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753413.287395,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753414.523486,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753415.757197,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753416.989479,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753418.226796,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753419.459054,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753420.696346,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753421.929001,71014.7,60.24,21.99,2900.0,1120.0,342,0,0
1479753423.16609,71014.7,60.24,21.99,2900.0,1130.0,342,0,1
1479753424.398598,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753425.632172,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753426.868236,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753428.101735,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
1479753429.339082,71014.7,60.24,21.99,2900.0,1130.0,342,0,0
