interior_pressure,interior_pressure,pressure_normal,pressure_2.5,pressure_97.5
101298.6831,101298.6831,101460.4795,101356.1885,101556.8692
101298.6831,101298.6831,101460.4795,101356.1885,101556.8692
101298.6831,101298.6831,101460.4795,101356.1885,101556.8692
101298.6831,101298.6831,101460.4795,101356.1885,101556.8692
101298.6831,101298.6831,101460.4795,101356.1885,101556.8692
101298.6831,101298.6831,101460.4795,101356.1885,101556.8692
101298.6831,101298.6831,101460.4795,101356.1885,101556.8692
101298.6831,101298.6831,101460.4795,101356.1885,101556.8692
101298.6831,101298.6831,101460.4795,101356.1885,101556.8692
101298.6831,101298.6831,101460.4795,101356.1885,101556.8692
101298.6831,101298.6831,101460.4795,101356.1885,101556.8692
101298.6831,101298.6831,101460.4795,101356.1885,101556.8692
101298.6831,101298.6831,101460.4795,101356.1885,101556.8692
101298.6831,101298.6831,101460.4795,101356.1885,101556.8692
101298.6831,101298.6831,101460.4795,101356.1885,101556.8692
101298.6831,101298.6831,101460.4795,101356.1885,101556.8692
101295.642,101295.642,101457.4335,101353.1456,101553.8203
101295.642,101295.642,101457.4335,101353.1456,101553.8203
101290.3245,101290.3245,101452.1075,101347.8251,101548.4892
101290.3245,101290.3245,101452.1075,101347.8251,101548.4892
101290.3245,101290.3245,101452.1075,101347.8251,101548.4892
101291.6627,101291.6627,101453.4479,101349.164,101549.8308
101291.6627,101291.6627,101453.4479,101349.164,101549.8308
101291.6627,101291.6627,101453.4479,101349.164,101549.8308
101291.3709,101291.3709,101453.1556,101348.8721,101549.5383
101291.3709,101291.3709,101453.1556,101348.8721,101549.5383
101291.3709,101291.3709,101453.1556,101348.8721,101549.5383
101289.7307,101289.7307,101451.5128,101347.2309,101547.8939
101289.7307,101289.7307,101451.5128,101347.2309,101547.8939
101286.1829,101286.1829,101447.9593,101343.6811,101544.3371
101286.1829,101286.1829,101447.9593,101343.6811,101544.3371
101286.1829,101286.1829,101447.9593,101343.6811,101544.3371
101289.8469,101289.8469,101451.6292,101347.3472,101548.0104
101289.8469,101289.8469,101451.6292,101347.3472,101548.0104
101289.8469,101289.8469,101451.6292,101347.3472,101548.0104
101290.8483,101290.8483,101452.6322,101348.3492,101549.0144
