anemometer_rpm,time,altitude
106,1479766098,335.1805802
111,1479766158,335.3788309
97,1479766218,334.6340586
171,1479766278,335.0615459
171,1479766338,335.2777345
174,1479766399,335.0432087
118,1479766459,335.2816973
211,1479766519,335.2962777
139,1479766579,335.1642638
177,1479766639,335.0026561
179,1479766699,334.8313809
239,1479766759,334.946874
143,1479766819,334.7731909
146,1479766879,335.1053372
132,1479766939,335.4421237
179,1479766999,335.407722
223,1479767059,335.4552229
285,1479767119,335.2315249
196,1479767179,334.7236671
252,1479767239,334.7872269
174,1479767299,334.5669725
311,1479767359,334.0803096
243,1479767419,334.5294121
283,1479767479,334.2706488
375,1479767539,334.4906603
161,1479767599,334.4551218
347,1479767660,334.634721
412,1479767720,334.2723659
373,1479767780,334.0278101
390,1479767840,333.8133784
346,1479767900,333.6834737
331,1479767960,333.4575956
298,1479768020,333.0387702
335,1479768080,333.0849433
246,1479768140,332.8494032
327,1479768200,332.6189398
270,1479768260,332.4064838
234,1479768320,332.0631303
320,1479768380,332.4586895
362,1479768440,332.3363097
264,1479768500,332.0598379
320,1479768560,332.192914
242,1479768620,332.5345834
387,1479768680,332.595447
223,1479768740,332.3328555
324,1479768800,332.0180558
280,1479768861,332.188008
171,1479768921,332.0394951
139,1479768981,332.0493474
167,1479769041,331.8395142
164,1479769101,331.7829769
351,1479769161,331.9102818
208,1479769221,331.9670796
264,1479769281,332.2687062
220,1479769341,332.3719029
212,1479769401,332.0069108
400,1479769461,332.1277833
257,1479769521,332.0238794
242,1479769581,332.1375161
218,1479769641,332.0750941
157,1479769701,332.2367791
163,1479769761,332.6359937
157,1479769821,332.1566824
379,1479769881,332.0973317
372,1479769941,331.868035
300,1479770001,331.7202646
165,1479770062,331.8619328
265,1479770122,331.7900905
154,1479770182,331.9485122
294,1479770242,331.799786
177,1479770302,331.9131751
241,1479770362,332.1288868
187,1479770422,332.2324236
180,1479770482,332.2467314
165,1479770542,332.4513501
275,1479770602,332.9070826
164,1479770662,332.9797352
287,1479770722,332.9321279
206,1479770782,333.4300924
266,1479770842,333.3742629
195,1479770902,333.5859758
289,1479770962,333.8108029
185,1479771022,334.4093667
266,1479771082,334.2351076
326,1479771142,334.8002357
171,1479771202,334.4788735
123,1479771263,334.1749957
166,1479771323,334.3219271
114,1479771383,334.7197768
148,1479771443,334.5079005
141,1479771503,334.4222581
220,1479771563,334.9165888
189,1479771623,334.9220751
174,1479771683,335.1556371
228,1479771743,335.1885729
168,1479771803,335.2683661
127,1479771863,335.6792724
127,1479771923,335.4055822
148,1479771983,335.1648462
282,1479772043,334.8906656
268,1479772103,334.7164044
224,1479772163,334.3199347
233,1479772223,334.3583272
360,1479772283,333.8339174
244,1479772343,333.6989483
139,1479772403,333.3549988
156,1479772464,333.5973297
430,1479772524,333.8314648
261,1479772584,333.5658906
431,1479772644,333.5874656
409,1479772704,333.7569628
492,1479772764,333.544375
275,1479772824,333.9774485
277,1479772884,333.724435
268,1479772944,334.0992
294,1479773004,334.1117718
260,1479773064,334.239797
379,1479773124,334.1193016
454,1479773184,334.1075221
947,1479773244,333.5816755
