interior_pressure,calibrated_pressure,pressure_normal,pressure_2.5,pressure_97.5
101291.5109,101453.2958,101453.2958,101349.0122,101549.6787
101291.5109,101453.2958,101453.2958,101349.0122,101549.6787
101291.5109,101453.2958,101453.2958,101349.0122,101549.6787
101289.6423,101451.4242,101451.4242,101347.1425,101547.8053
101289.6423,101451.4242,101451.4242,101347.1425,101547.8053
101289.6423,101451.4242,101451.4242,101347.1425,101547.8053
101294.1999,101455.9892,101455.9891,101351.7027,101552.3745
101294.1999,101455.9892,101455.9891,101351.7027,101552.3745
101294.1999,101455.9892,101455.9891,101351.7027,101552.3745
101290.4514,101452.2346,101452.2346,101347.9521,101548.6165
101290.4514,101452.2346,101452.2346,101347.9521,101548.6165
101290.4514,101452.2346,101452.2346,101347.9521,101548.6165
101291.9608,101453.7465,101453.7464,101349.4623,101550.1297
101291.9608,101453.7465,101453.7464,101349.4623,101550.1297
101291.9608,101453.7465,101453.7464,101349.4623,101550.1297
101291.9608,101453.7465,101453.7464,101349.4623,101550.1297
101291.1872,101452.9716,101452.9716,101348.6883,101549.3541
101291.1872,101452.9716,101452.9716,101348.6883,101549.3541
101291.1872,101452.9716,101452.9716,101348.6883,101549.3541
101295.5727,101457.3641,101457.3641,101353.0763,101553.7508
101295.5727,101457.3641,101457.3641,101353.0763,101553.7508
101295.5727,101457.3641,101457.3641,101353.0763,101553.7508
101291.7865,101453.5719,101453.5719,101349.2879,101549.955
101291.7865,101453.5719,101453.5719,101349.2879,101549.955
101291.7865,101453.5719,101453.5719,101349.2879,101549.955
101290.0036,101451.7861,101451.7861,101347.504,101548.1675
101290.0036,101451.7861,101451.7861,101347.504,101548.1675
101290.0036,101451.7861,101451.7861,101347.504,101548.1675
101291.2415,101453.026,101453.026,101348.7426,101549.4086
101291.2415,101453.026,101453.026,101348.7426,101549.4086
101290.2237,101452.0065,101452.0066,101347.7242,101548.3882
101290.2237,101452.0065,101452.0066,101347.7242,101548.3882
101290.2237,101452.0065,101452.0066,101347.7242,101548.3882
101293.4949,101455.283,101455.283,101350.9973,101551.6677
101293.4949,101455.283,101455.283,101350.9973,101551.6677
101293.4949,101455.283,101455.283,101350.9973,101551.6677
101290.3226,101452.1056,101452.1056,101347.8232,101548.4873
101290.3226,101452.1056,101452.1056,101347.8232,101548.4873
101290.3226,101452.1056,101452.1056,101347.8232,101548.4873
101290.3226,101452.1056,101452.1056,101347.8232,101548.4873
101290.3226,101452.1056,101452.1056,101347.8232,101548.4873
101290.8228,101452.6066,101452.6066,101348.3237,101548.9888
101290.8228,101452.6066,101452.6066,101348.3237,101548.9888
101291.1655,101452.9499,101452.9499,101348.6666,101549.3324
101291.1655,101452.9499,101452.9499,101348.6666,101549.3324
101291.1655,101452.9499,101452.9499,101348.6666,101549.3324
101290.4435,101452.2268,101452.2267,101347.9441,101548.6085
101290.4435,101452.2268,101452.2267,101347.9441,101548.6085
101290.4435,101452.2268,101452.2267,101347.9441,101548.6085
101289.0456,101450.8266,101450.8266,101346.5455,101547.2071
101289.0456,101450.8266,101450.8266,101346.5455,101547.2071
101289.0456,101450.8266,101450.8266,101346.5455,101547.2071
101287.9872,101449.7665,101449.7665,101345.4864,101546.146
101287.9872,101449.7665,101449.7665,101345.4864,101546.146
101287.9872,101449.7665,101449.7665,101345.4864,101546.146
101287.3393,101449.1175,101449.1175,101344.8382,101545.4964
101287.3393,101449.1175,101449.1175,101344.8382,101545.4964
101287.3393,101449.1175,101449.1175,101344.8382,101545.4964
101288.1417,101449.9213,101449.9212,101345.641,101546.3009
101288.1417,101449.9213,101449.9212,101345.641,101546.3009
101290.0954,101451.8781,101451.8781,101347.5958,101548.2595
101290.0954,101451.8781,101451.8781,101347.5958,101548.2595
101290.0954,101451.8781,101451.8781,101347.5958,101548.2595
101290.941,101452.725,101452.725,101348.4419,101549.1073
101290.941,101452.725,101452.725,101348.4419,101549.1073
101290.941,101452.725,101452.725,101348.4419,101549.1073
101290.941,101452.725,101452.725,101348.4419,101549.1073
101290.941,101452.725,101452.725,101348.4419,101549.1073
101290.1602,101451.943,101451.943,101347.6607,101548.3245
101290.1602,101451.943,101451.943,101347.6607,101548.3245
101290.1602,101451.943,101451.943,101347.6607,101548.3245
101291.5489,101453.3339,101453.3339,101349.0502,101549.7168
101291.5489,101453.3339,101453.3339,101349.0502,101549.7168
101290.0119,101451.7944,101451.7944,101347.5123,101548.1758
101290.0119,101451.7944,101451.7944,101347.5123,101548.1758
101290.0119,101451.7944,101451.7944,101347.5123,101548.1758
101289.3515,101451.133,101451.133,101346.8515,101547.5138
101289.3515,101451.133,101451.133,101346.8515,101547.5138
101289.3515,101451.133,101451.133,101346.8515,101547.5138
101288.9844,101450.7653,101450.7653,101346.4842,101547.1457
101288.9844,101450.7653,101450.7653,101346.4842,101547.1457
101288.9844,101450.7653,101450.7653,101346.4842,101547.1457
101288.469,101450.249,101450.2491,101345.9685,101546.629
101288.469,101450.249,101450.2491,101345.9685,101546.629
101288.469,101450.249,101450.2491,101345.9685,101546.629
101290.1911,101451.9739,101451.9739,101347.6916,101548.3555
101290.1911,101451.9739,101451.9739,101347.6916,101548.3555
101290.1911,101451.9739,101451.9739,101347.6916,101548.3555
101290.8085,101452.5923,101452.5923,101348.3094,101548.9745
101290.8085,101452.5923,101452.5923,101348.3094,101548.9745
101290.8085,101452.5923,101452.5923,101348.3094,101548.9745
101290.8085,101452.5923,101452.5923,101348.3094,101548.9745
101291.0431,101452.8272,101452.8273,101348.5441,101549.2097
101291.0431,101452.8272,101452.8273,101348.5441,101549.2097
101291.0431,101452.8272,101452.8273,101348.5441,101549.2097
101290.7189,101452.5026,101452.5026,101348.2197,101548.8846
101290.7189,101452.5026,101452.5026,101348.2197,101548.8846
101290.7189,101452.5026,101452.5026,101348.2197,101548.8846
101290.5182,101452.3015,101452.3015,101348.0189,101548.6834
101290.5182,101452.3015,101452.3015,101348.0189,101548.6834
101290.5182,101452.3015,101452.3015,101348.0189,101548.6834
101292.3822,101454.1685,101454.1685,101349.884,101550.5522
101292.3822,101454.1685,101454.1685,101349.884,101550.5522
101293.3577,101455.1455,101455.1456,101350.86,101551.5302
101293.3577,101455.1455,101455.1456,101350.86,101551.5302
101293.3577,101455.1455,101455.1456,101350.86,101551.5302
101290.2491,101452.032,101452.032,101347.7496,101548.4136
101290.2491,101452.032,101452.032,101347.7496,101548.4136
101290.2491,101452.032,101452.032,101347.7496,101548.4136
101287.8999,101449.6791,101449.679,101345.3991,101546.0584
101287.8999,101449.6791,101449.679,101345.3991,101546.0584
101287.8999,101449.6791,101449.679,101345.3991,101546.0584
101287.8194,101449.5984,101449.5984,101345.3186,101545.9777
101287.8194,101449.5984,101449.5984,101345.3186,101545.9777
101287.8194,101449.5984,101449.5984,101345.3186,101545.9777
101287.8194,101449.5984,101449.5984,101345.3186,101545.9777
101287.8194,101449.5984,101449.5984,101345.3186,101545.9777
101289.8164,101451.5986,101451.5986,101347.3167,101547.9798
101289.8164,101451.5986,101451.5986,101347.3167,101547.9798
101293.6592,101455.4475,101455.4476,101351.1617,101551.8324
101293.6592,101455.4475,101455.4476,101351.1617,101551.8324
101293.6592,101455.4475,101455.4476,101351.1617,101551.8324
101287.939,101449.7182,101449.7182,101345.4382,101546.0976
101287.939,101449.7182,101449.7182,101345.4382,101546.0976
101287.939,101449.7182,101449.7182,101345.4382,101546.0976
101289.9639,101451.7464,101451.7463,101347.4643,101548.1277
101289.9639,101451.7464,101451.7463,101347.4643,101548.1277
101289.9639,101451.7464,101451.7463,101347.4643,101548.1277
101291.8156,101453.601,101453.601,101349.317,101549.9841
101291.8156,101453.601,101453.601,101349.317,101549.9841
101291.8156,101453.601,101453.601,101349.317,101549.9841
101289.0958,101450.8769,101450.8769,101346.5957,101547.2574
101289.0958,101450.8769,101450.8769,101346.5957,101547.2574
101289.0958,101450.8769,101450.8769,101346.5957,101547.2574
101290.2039,101451.9867,101451.9867,101347.7044,101548.3683
101290.2039,101451.9867,101451.9867,101347.7044,101548.3683
101290.7464,101452.5301,101452.5301,101348.2472,101548.9122
101290.7464,101452.5301,101452.5301,101348.2472,101548.9122
101290.7464,101452.5301,101452.5301,101348.2472,101548.9122
101290.7464,101452.5301,101452.5301,101348.2472,101548.9122
101290.7464,101452.5301,101452.5301,101348.2472,101548.9122
101290.7464,101452.5301,101452.5301,101348.2472,101548.9122
101289.8295,101451.6117,101451.6117,101347.3298,101547.993
101289.8295,101451.6117,101451.6117,101347.3298,101547.993
101289.8295,101451.6117,101451.6117,101347.3298,101547.993
101289.0537,101450.8347,101450.8347,101346.5536,101547.2152
101289.0537,101450.8347,101450.8347,101346.5536,101547.2152
101289.0537,101450.8347,101450.8347,101346.5536,101547.2152
101289.0655,101450.8465,101450.8465,101346.5654,101547.227
101289.0655,101450.8465,101450.8465,101346.5654,101547.227
101290.7378,101452.5215,101452.5215,101348.2386,101548.9036
101290.7378,101452.5215,101452.5215,101348.2386,101548.9036
101290.7378,101452.5215,101452.5215,101348.2386,101548.9036
101289.1962,101450.9774,101450.9774,101346.6961,101547.3581
101289.1962,101450.9774,101450.9774,101346.6961,101547.3581
101289.1962,101450.9774,101450.9774,101346.6961,101547.3581
101291.0419,101452.8261,101452.8261,101348.5429,101549.2085
101291.0419,101452.8261,101452.8261,101348.5429,101549.2085
101291.0419,101452.8261,101452.8261,101348.5429,101549.2085
101290.8905,101452.6745,101452.6744,101348.3914,101549.0567
101290.8905,101452.6745,101452.6744,101348.3914,101549.0567
101290.8905,101452.6745,101452.6744,101348.3914,101549.0567
101288.6862,101450.4666,101450.4666,101346.1858,101546.8468
101288.6862,101450.4666,101450.4666,101346.1858,101546.8468
101288.6862,101450.4666,101450.4666,101346.1858,101546.8468
101291.3033,101453.0879,101453.0879,101348.8044,101549.4705
101291.3033,101453.0879,101453.0879,101348.8044,101549.4705
101291.3033,101453.0879,101453.0879,101348.8044,101549.4705
101291.3033,101453.0879,101453.0879,101348.8044,101549.4705
101291.3738,101453.1585,101453.1585,101348.875,101549.5412
101291.3738,101453.1585,101453.1585,101348.875,101549.5412
101291.3738,101453.1585,101453.1585,101348.875,101549.5412
101293.4355,101455.2235,101455.2235,101350.9379,101551.6082
101293.4355,101455.2235,101455.2235,101350.9379,101551.6082
101293.4355,101455.2235,101455.2235,101350.9379,101551.6082
101290.6563,101452.4399,101452.4399,101348.1571,101548.8219
101290.6563,101452.4399,101452.4399,101348.1571,101548.8219
101290.6563,101452.4399,101452.4399,101348.1571,101548.8219
101292.5078,101454.2944,101454.2943,101350.0096,101550.6781
101292.5078,101454.2944,101454.2943,101350.0096,101550.6781
101287.4429,101449.2213,101449.2213,101344.9418,101545.6003
101287.4429,101449.2213,101449.2213,101344.9418,101545.6003
101287.4429,101449.2213,101449.2213,101344.9418,101545.6003
101292.1326,101453.9185,101453.9185,101349.6342,101550.3019
101292.1326,101453.9185,101453.9185,101349.6342,101550.3019
101292.1326,101453.9185,101453.9185,101349.6342,101550.3019
101288.8006,101450.5812,101450.5812,101346.3003,101546.9614
101288.8006,101450.5812,101450.5812,101346.3003,101546.9614
101288.8006,101450.5812,101450.5812,101346.3003,101546.9614
101293.6755,101455.4639,101455.4639,101351.178,101551.8488
101293.6755,101455.4639,101455.4639,101351.178,101551.8488
101293.6755,101455.4639,101455.4639,101351.178,101551.8488
101293.6755,101455.4639,101455.4639,101351.178,101551.8488
101293.6755,101455.4639,101455.4639,101351.178,101551.8488
101293.0783,101454.8658,101454.8657,101350.5805,101551.2501
101293.0783,101454.8658,101454.8657,101350.5805,101551.2501
101288.8599,101450.6406,101450.6406,101346.3596,101547.0209
101288.8599,101450.6406,101450.6406,101346.3596,101547.0209
101288.8599,101450.6406,101450.6406,101346.3596,101547.0209
101292.1222,101453.9081,101453.9081,101349.6238,101550.2915
